DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
314035,Population with water more than 30 minutes away round trip,0.1,1,AM,Armenia,2010,AM2010DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2010,DHS,23787,23542,NA,NA,NA
314016,Population with unknown or missing information on round trip time to water,0.2,1,AM,Armenia,2010,AM2010DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2010,DHS,23787,23542,NA,NA,NA
109840,Population with water on the premises,97.4,1,AM,Armenia,2016,AM2016DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2015-16,DHS,27958,27682,NA,NA,NA
109803,Population with water 30 minutes or less away round trip,1.7,1,AM,Armenia,2016,AM2016DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2015-16,DHS,27958,27682,NA,NA,NA
109841,Population with water more than 30 minutes away round trip,0.2,1,AM,Armenia,2016,AM2016DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2015-16,DHS,27958,27682,NA,NA,NA
109797,Population with unknown or missing information on round trip time to water,0.8,1,AM,Armenia,2016,AM2016DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2015-16,DHS,27958,27682,NA,NA,NA
239018,Population with water on the premises,35.9,1,AO,Angola,2015,AO2015DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2015-16,DHS,77465,73914,NA,NA,NA
239025,Population with water 30 minutes or less away round trip,44.7,1,AO,Angola,2015,AO2015DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2015-16,DHS,77465,73914,NA,NA,NA
239019,Population with water more than 30 minutes away round trip,15.8,1,AO,Angola,2015,AO2015DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2015-16,DHS,77465,73914,NA,NA,NA
239009,Population with unknown or missing information on round trip time to water,3.6,1,AO,Angola,2015,AO2015DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2015-16,DHS,77465,73914,NA,NA,NA
164365,Population with water on the premises,74.6,1,AZ,Azerbaijan,2006,AZ2006DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2006,DHS,29674,30114,NA,NA,NA
164397,Population with water 30 minutes or less away round trip,19.6,1,AZ,Azerbaijan,2006,AZ2006DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2006,DHS,29674,30114,NA,NA,NA
164366,Population with water more than 30 minutes away round trip,4.8,1,AZ,Azerbaijan,2006,AZ2006DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2006,DHS,29674,30114,NA,NA,NA
164407,Population with unknown or missing information on round trip time to water,0.9,1,AZ,Azerbaijan,2006,AZ2006DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2006,DHS,29674,30114,NA,NA,NA
489967,Population with water on the premises,66.2,1,BD,Bangladesh,1994,BD1994DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,1993-94,DHS,49895,49617,NA,NA,NA
490002,Population with water 30 minutes or less away round trip,30.3,1,BD,Bangladesh,1994,BD1994DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,1993-94,DHS,49895,49617,NA,NA,NA
489968,Population with water more than 30 minutes away round trip,3.2,1,BD,Bangladesh,1994,BD1994DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,1993-94,DHS,49895,49617,NA,NA,NA
489977,Population with unknown or missing information on round trip time to water,0.3,1,BD,Bangladesh,1994,BD1994DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,1993-94,DHS,49895,49617,NA,NA,NA
156467,Population with water on the premises,71.6,1,BD,Bangladesh,2011,BD2011DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2011,DHS,78909,79483,NA,NA,NA
156484,Population with water 30 minutes or less away round trip,27.1,1,BD,Bangladesh,2011,BD2011DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2011,DHS,78909,79483,NA,NA,NA
156468,Population with water more than 30 minutes away round trip,1.2,1,BD,Bangladesh,2011,BD2011DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2011,DHS,78909,79483,NA,NA,NA
156459,Population with unknown or missing information on round trip time to water,0.1,1,BD,Bangladesh,2011,BD2011DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2011,DHS,78909,79483,NA,NA,NA
381792,Population with water on the premises,75.4,1,BD,Bangladesh,2014,BD2014DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2014,DHS,77326,77685,NA,NA,NA
381766,Population with water 30 minutes or less away round trip,22.8,1,BD,Bangladesh,2014,BD2014DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2014,DHS,77326,77685,NA,NA,NA
381797,Population with water more than 30 minutes away round trip,1.7,1,BD,Bangladesh,2014,BD2014DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2014,DHS,77326,77685,NA,NA,NA
381777,Population with unknown or missing information on round trip time to water,0.1,1,BD,Bangladesh,2014,BD2014DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2014,DHS,77326,77685,NA,NA,NA
67710,Population with water on the premises,17.8,1,BF,Burkina Faso,1993,BF1993DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,1993,DHS,34202,33459,NA,NA,NA
67699,Population with water 30 minutes or less away round trip,62.2,1,BF,Burkina Faso,1993,BF1993DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,1993,DHS,34202,33459,NA,NA,NA
67711,Population with water more than 30 minutes away round trip,19.2,1,BF,Burkina Faso,1993,BF1993DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,1993,DHS,34202,33459,NA,NA,NA
