"","IndicatorCode","Country","Year","Value"
"91","WSH_WATER_SAFELY_MANAGED","MNE",2017,84.88911
"92","WSH_WATER_SAFELY_MANAGED","DZA",2000,51.99715
"93","WSH_WATER_SAFELY_MANAGED","USA",2006,95.36439
"94","WSH_WATER_SAFELY_MANAGED","UKR",2002,8.62252
"95","WSH_WATER_SAFELY_MANAGED","COG",2012,58.19118
"96","WSH_WATER_SAFELY_MANAGED","GHA",2016,35.01281
"97","WSH_WATER_SAFELY_MANAGED","BTN",2010,18.56068
"98","WSH_WATER_SAFELY_MANAGED","JOR",2021,85.71292
"99","WSH_WATER_SAFELY_MANAGED","ISR",2010,99.48195
"100","WSH_WATER_SAFELY_MANAGED","ESP",2003,98.6356
"101","WSH_WATER_SAFELY_MANAGED","GBR",2014,99.90116
"102","WSH_WATER_SAFELY_MANAGED","HND",2013,73.11236
"103","WSH_WATER_SAFELY_MANAGED","IRQ",2017,64.12862
"104","WSH_WATER_SAFELY_MANAGED","TKM",2007,65.6542
"105","WSH_WATER_SAFELY_MANAGED","TKM",2019,97.08265
"106","WSH_WATER_SAFELY_MANAGED","TKM",2016,87.64141
"107","WSH_WATER_SAFELY_MANAGED","AFG",2012,21.124
"108","WSH_WATER_SAFELY_MANAGED","SLE",2014,11.7033
"109","WSH_WATER_SAFELY_MANAGED","PAK",2005,29.73215
"110","WSH_WATER_SAFELY_MANAGED","COG",2010,39.63144
"111","WSH_WATER_SAFELY_MANAGED","CHN",2018,96.27064
"112","WSH_WATER_SAFELY_MANAGED","MEX",2022,43.03788
"113","WSH_WATER_SAFELY_MANAGED","HND",2000,45.8841
"114","WSH_WATER_SAFELY_MANAGED","IND",2007,38.75459
"115","WSH_WATER_SAFELY_MANAGED","GHA",2011,26.48082
"116","WSH_WATER_SAFELY_MANAGED","LUX",2016,97.53845
"117","WSH_WATER_SAFELY_MANAGED","RUS",2014,75.53827
"118","WSH_WATER_SAFELY_MANAGED","SVN",2008,91.10523
"119","WSH_WATER_SAFELY_MANAGED","MAR",2004,43.26162
"120","WSH_WATER_SAFELY_MANAGED","VNM",2009,40.65016
"121","WSH_WATER_SAFELY_MANAGED","ISR",2016,99.56804
"122","WSH_WATER_SAFELY_MANAGED","TKM",2019,94.81207
"123","WSH_WATER_SAFELY_MANAGED","KGZ",2000,45.65978
"124","WSH_WATER_SAFELY_MANAGED","SUR",2018,63.3034
"125","WSH_WATER_SAFELY_MANAGED","SLE",2008,6.72405
"126","WSH_WATER_SAFELY_MANAGED","PHL",2022,47.9019
"127","WSH_WATER_SAFELY_MANAGED","BTN",2012,40.89976
"128","WSH_WATER_SAFELY_MANAGED","CYP",2019,99.76519
"129","WSH_WATER_SAFELY_MANAGED","CIV",2014,23.50381
"130","WSH_WATER_SAFELY_MANAGED","MKD",2003,74.39429
"131","WSH_WATER_SAFELY_MANAGED","LKA",2003,35.96229
"132","WSH_WATER_SAFELY_MANAGED","PRK",2022,48.83232
"133","WSH_WATER_SAFELY_MANAGED","HND",2012,57.31811
"134","WSH_WATER_SAFELY_MANAGED","ZMB",2020,45.47578
"135","WSH_WATER_SAFELY_MANAGED","MLT",2014,99.91349
