"","Id","IndicatorCode","SpatialDimType","Country","ParentLocationCode","TimeDimType","ParentLocation","Dim1Type","Year","Dim1","Dim2Type","Dim2","Dim3Type","Dim3","DataSourceDimType","DataSourceDim","Value","NumericValue","Low","High","Comments","Date","TimeDimensionValue","TimeDimensionBegin","TimeDimensionEnd"
"522",412155,"WHOSIS_000001","COUNTRY","NLD","EUR","YEAR","Europe","SEX",2013,"SEX_BTSX",NA,NA,NA,NA,NA,NA,"81.1 [81.1-81.2]",81.11693502,81.11004961,81.19967797,NA,"2024-08-02T09:43:39.193+02:00","2013","2013-01-01T00:00:00+01:00","2013-12-31T00:00:00+01:00"
"523",412729,"WHOSIS_000001","COUNTRY","IND","SEAR","YEAR","South-East Asia","SEX",2009,"SEX_BTSX",NA,NA,NA,NA,NA,NA,"67.0 [66.6-67.6]",67.04997477,66.5936823,67.58273817,NA,"2024-08-02T09:43:39.193+02:00","2009","2009-01-01T00:00:00+01:00","2009-12-31T00:00:00+01:00"
"524",412972,"WHOSIS_000001","COUNTRY","DNK","EUR","YEAR","Europe","SEX",2018,"SEX_MLE",NA,NA,NA,NA,NA,NA,"79.0 [79.0-79.1]",79.02367711,78.99762097,79.12700889,NA,"2024-08-02T09:43:39.193+02:00","2018","2018-01-01T00:00:00+01:00","2018-12-31T00:00:00+01:00"
"525",413230,"WHOSIS_000001","COUNTRY","AGO","AFR","YEAR","Africa","SEX",2016,"SEX_MLE",NA,NA,NA,NA,NA,NA,"59.5 [58.4-60.6]",59.48618868,58.41668829,60.62098354,NA,"2024-08-02T09:43:39.193+02:00","2016","2016-01-01T00:00:00+01:00","2016-12-31T00:00:00+01:00"
"526",413535,"WHOSIS_000001","COUNTRY","DJI","EMR","YEAR","Eastern Mediterranean","SEX",2009,"SEX_FMLE",NA,NA,NA,NA,NA,NA,"63.4 [62.4-64.7]",63.35757648,62.3836823,64.678652,NA,"2024-08-02T09:43:39.193+02:00","2009","2009-01-01T00:00:00+01:00","2009-12-31T00:00:00+01:00"
"527",415266,"WHOSIS_000001","COUNTRY","MAR","EMR","YEAR","Eastern Mediterranean","SEX",2009,"SEX_BTSX",NA,NA,NA,NA,NA,NA,"72.2 [71.4-73.0]",72.16145438,71.41340336,73.02080861,NA,"2024-08-02T09:43:39.193+02:00","2009","2009-01-01T00:00:00+01:00","2009-12-31T00:00:00+01:00"
"528",415322,"WHOSIS_000001","COUNTRY","AFG","EMR","YEAR","Eastern Mediterranean","SEX",2008,"SEX_MLE",NA,NA,NA,NA,NA,NA,"57.5 [56.7-58.4]",57.51223192,56.66202741,58.42206024,NA,"2024-08-02T09:43:39.193+02:00","2008","2008-01-01T00:00:00+01:00","2008-12-31T00:00:00+01:00"
"529",416733,"WHOSIS_000001","COUNTRY","MUS","AFR","YEAR","Africa","SEX",2018,"SEX_MLE",NA,NA,NA,NA,NA,NA,"70.9 [70.7-71.0]",70.85811041,70.70100849,71.03261605,NA,"2024-08-02T09:43:39.193+02:00","2018","2018-01-01T00:00:00+01:00","2018-12-31T00:00:00+01:00"
"530",419171,"WHOSIS_000001","COUNTRY","PAK","EMR","YEAR","Eastern Mediterranean","SEX",2017,"SEX_MLE",NA,NA,NA,NA,NA,NA,"65.6 [64.5-66.7]",65.62912396,64.50856548,66.72861302,NA,"2024-08-02T09:43:39.193+02:00","2017","2017-01-01T00:00:00+01:00","2017-12-31T00:00:00+01:00"
"531",419519,"WHOSIS_000001","COUNTRY","GUY","AMR","YEAR","Americas","SEX",2014,"SEX_FMLE",NA,NA,NA,NA,NA,NA,"70.0 [69.5-70.5]",69.96907386,69.49553597,70.49937704,NA,"2024-08-02T09:43:39.193+02:00","2014","2014-01-01T00:00:00+01:00","2014-12-31T00:00:00+01:00"
"532",419807,"WHOSIS_000001","COUNTRY","MYS","WPR","YEAR","Western Pacific","SEX",2020,"SEX_FMLE",NA,NA,NA,NA,NA,NA,"78.6 [78.6-78.7]",78.61255709,78.58388929,78.72360337,NA,"2024-08-02T09:43:39.193+02:00","2020","2020-01-01T00:00:00+01:00","2020-12-31T00:00:00+01:00"
"533",422293,"WHOSIS_000001","COUNTRY","URY","AMR","YEAR","Americas","SEX",2017,"SEX_BTSX",NA,NA,NA,NA,NA,NA,"77.3 [77.3-77.4]",77.33933717,77.28415359,77.44430966,NA,"2024-08-02T09:43:39.193+02:00","2017","2017-01-01T00:00:00+01:00","2017-12-31T00:00:00+01:00"
"534",423156,"WHOSIS_000001","COUNTRY","AUS","WPR","YEAR","Western Pacific","SEX",2011,"SEX_MLE",NA,NA,NA,NA,NA,NA,"79.9 [79.9-80.0]",79.90067619,79.89389786,79.98565193,NA,"2024-08-02T09:43:39.193+02:00","2011","2011-01-01T00:00:00+01:00","2011-12-31T00:00:00+01:00"
"535",423840,"WHOSIS_000001","COUNTRY","DJI","EMR","YEAR","Eastern Mediterranean","SEX",2005,"SEX_MLE",NA,NA,NA,NA,NA,NA,"58.5 [57.4-59.7]",58.50495263,57.36170027,59.74772716,NA,"2024-08-02T09:43:39.193+02:00","2005","2005-01-01T00:00:00+01:00","2005-12-31T00:00:00+01:00"
"536",424077,"WHOSIS_000001","COUNTRY","GRC","EUR","YEAR","Europe","SEX",2019,"SEX_MLE",NA,NA,NA,NA,NA,NA,"78.8 [78.8-78.9]",78.7970393,78.77373218,78.89234068,NA,"2024-08-02T09:43:39.193+02:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"537",425572,"WHOSIS_000001","COUNTRY","PAN","AMR","YEAR","Americas","SEX",2019,"SEX_MLE",NA,NA,NA,NA,NA,NA,"76.2 [75.9-76.5]",76.19820779,75.94552758,76.47514163,NA,"2024-08-02T09:43:39.193+02:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"538",425929,"WHOSIS_000001","COUNTRY","DEU","EUR","YEAR","Europe","SEX",2008,"SEX_FMLE",NA,NA,NA,NA,NA,NA,"82.3 [82.2-82.3]",82.26449667,82.20668663,82.32230671,NA,"2024-08-02T09:43:39.193+02:00","2008","2008-01-01T00:00:00+01:00","2008-12-31T00:00:00+01:00"
"539",426773,"WHOSIS_000001","COUNTRY","STP","AFR","YEAR","Africa","SEX",2020,"SEX_FMLE",NA,NA,NA,NA,NA,NA,"73.1 [72.6-73.6]",73.0644237,72.63974223,73.63055225,NA,"2024-08-02T09:43:39.193+02:00","2020","2020-01-01T00:00:00+01:00","2020-12-31T00:00:00+01:00"
"540",427301,"WHOSIS_000001","COUNTRY","ATG","AMR","YEAR","Americas","SEX",2008,"SEX_BTSX",NA,NA,NA,NA,NA,NA,"75.1 [74.8-75.4]",75.05552794,74.82532728,75.37190725,NA,"2024-08-02T09:43:39.193+02:00","2008","2008-01-01T00:00:00+01:00","2008-12-31T00:00:00+01:00"
"541",429057,"WHOSIS_000001","COUNTRY","RWA","AFR","YEAR","Africa","SEX",2004,"SEX_MLE",NA,NA,NA,NA,NA,NA,"53.3 [52.4-54.0]",53.26183173,52.40221876,54.04765758,NA,"2024-08-02T09:43:39.193+02:00","2004","2004-01-01T00:00:00+01:00","2004-12-31T00:00:00+01:00"
"542",429352,"WHOSIS_000001","COUNTRY","BDI","AFR","YEAR","Africa","SEX",2010,"SEX_FMLE",NA,NA,NA,NA,NA,NA,"60.9 [60.3-61.6]",60.86568181,60.28494007,61.59774657,NA,"2024-08-02T09:43:39.193+02:00","2010","2010-01-01T00:00:00+01:00","2010-12-31T00:00:00+01:00"
"543",430141,"WHOSIS_000001","COUNTRY","MLI","AFR","YEAR","Africa","SEX",2014,"SEX_MLE",NA,NA,NA,NA,NA,NA,"59.3 [58.5-60.3]",59.29738335,58.51854114,60.25696276,NA,"2024-08-02T09:43:39.193+02:00","2014","2014-01-01T00:00:00+01:00","2014-12-31T00:00:00+01:00"
"544",430254,"WHOSIS_000001","COUNTRY","RWA","AFR","YEAR","Africa","SEX",2009,"SEX_BTSX",NA,NA,NA,NA,NA,NA,"63.0 [62.3-63.7]",62.96873523,62.31502906,63.65894787,NA,"2024-08-02T09:43:39.193+02:00","2009","2009-01-01T00:00:00+01:00","2009-12-31T00:00:00+01:00"
"545",430348,"WHOSIS_000001","COUNTRY","ALB","EUR","YEAR","Europe","SEX",2009,"SEX_FMLE",NA,NA,NA,NA,NA,NA,"78.0 [77.6-78.4]",77.98188702,77.6431572,78.38016811,NA,"2024-08-02T09:43:39.193+02:00","2009","2009-01-01T00:00:00+01:00","2009-12-31T00:00:00+01:00"
"546",430669,"WHOSIS_000001","REGION","EMR",NA,"YEAR",NA,"SEX",2010,"SEX_BTSX",NA,NA,NA,NA,NA,NA,"68.1 [67.4-68.9]",68.14019842,67.44996144,68.93792657,NA,"2024-08-02T09:43:39.193+02:00","2010","2010-01-01T00:00:00+01:00","2010-12-31T00:00:00+01:00"
"547",432330,"WHOSIS_000001","COUNTRY","DOM","AMR","YEAR","Americas","SEX",2013,"SEX_FMLE",NA,NA,NA,NA,NA,NA,"76.6 [76.2-77.2]",76.64738664,76.1526453,77.22789307,NA,"2024-08-02T09:43:39.193+02:00","2013","2013-01-01T00:00:00+01:00","2013-12-31T00:00:00+01:00"
"548",434052,"WHOSIS_000001","COUNTRY","GIN","AFR","YEAR","Africa","SEX",2015,"SEX_MLE",NA,NA,NA,NA,NA,NA,"57.8 [56.8-58.8]",57.82797481,56.81836015,58.7813921,NA,"2024-08-02T09:43:39.193+02:00","2015","2015-01-01T00:00:00+01:00","2015-12-31T00:00:00+01:00"
"549",435241,"WHOSIS_000001","COUNTRY","TLS","SEAR","YEAR","South-East Asia","SEX",2019,"SEX_BTSX",NA,NA,NA,NA,NA,NA,"68.5 [67.7-69.4]",68.49880356,67.7229875,69.41676798,NA,"2024-08-02T09:43:39.193+02:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"550",436310,"WHOSIS_000001","REGION","EUR",NA,"YEAR",NA,"SEX",2013,"SEX_FMLE",NA,NA,NA,NA,NA,NA,"80.0 [80.0-80.2]",80.03936736,79.97936124,80.17735057,NA,"2024-08-02T09:43:39.193+02:00","2013","2013-01-01T00:00:00+01:00","2013-12-31T00:00:00+01:00"
"551",437922,"WHOSIS_000001","COUNTRY","TZA","AFR","YEAR","Africa","SEX",2015,"SEX_BTSX",NA,NA,NA,NA,NA,NA,"65.2 [64.6-65.9]",65.15719683,64.56824273,65.90969972,NA,"2024-08-02T09:43:39.193+02:00","2015","2015-01-01T00:00:00+01:00","2015-12-31T00:00:00+01:00"
"552",438508,"WHOSIS_000001","COUNTRY","SUR","AMR","YEAR","Americas","SEX",2015,"SEX_MLE",NA,NA,NA,NA,NA,NA,"70.0 [69.7-70.4]",69.98430357,69.66493836,70.36929896,NA,"2024-08-02T09:43:39.193+02:00","2015","2015-01-01T00:00:00+01:00","2015-12-31T00:00:00+01:00"
