"","IndicatorCode","Country","Year","Value"
"134","SDGWSHBOD","FIN",2019,0.9
"135","SDGWSHBOD","RUS",2019,2.1
"136","SDGWSHBOD","KAZ",2019,2.6
"137","SDGWSHBOD","KWT",2019,0.9
"138","SDGWSHBOD","BIH",2019,1.9
"139","SDGWSHBOD","SDN",2019,15.8
"140","SDGWSHBOD","LKA",2019,5.2
"141","SDGWSHBOD","YEM",2019,15.6
"142","SDGWSHBOD","SOM",2019,91.7
"143","SDGWSHBOD","SAU",2019,1.9
"144","SDGWSHBOD","IND",2019,28.1
"145","SDGWSHBOD","SEN",2019,31.7
"146","SDGWSHBOD","BTN",2019,15
"147","SDGWSHBOD","USA",2019,2.1
"148","SDGWSHBOD","BLR",2019,2.1
"149","SDGWSHBOD","PAK",2019,39.7
"150","SDGWSHBOD","MUS",2019,5.7
"151","SDGWSHBOD","BEN",2019,60.2
"152","SDGWSHBOD","LTU",2019,3.1
"153","SDGWSHBOD","BDI",2019,59.8
"154","SDGWSHBOD","FIN",2019,0.8
"155","SDGWSHBOD","NER",2019,63.5
"156","SDGWSHBOD","KIR",2019,31
"157","SDGWSHBOD","TCD",2019,107.1
"158","SDGWSHBOD","AFR",2019,51.20332
"159","SDGWSHBOD","BRA",2019,6.7
"160","SDGWSHBOD","ISR",2019,2
"161","SDGWSHBOD","SVK",2019,4.2
"162","SDGWSHBOD","FRA",2019,3
"163","SDGWSHBOD","MMR",2019,12.9
"164","SDGWSHBOD","MLT",2019,5.2
"165","SDGWSHBOD","UGA",2019,23.5
"166","SDGWSHBOD","GNQ",2019,29.6
"167","SDGWSHBOD","TGO",2019,42.4
"168","SDGWSHBOD","COD",2019,63
"169","SDGWSHBOD","BHS",2019,2.3
"170","SDGWSHBOD","ECU",2019,4.7
"171","SDGWSHBOD","ERI",2019,49.4
"172","SDGWSHBOD","SLV",2019,7.4
"173","SDGWSHBOD","DJI",2019,41.2
"174","SDGWSHBOD","COG",2019,21.6
"175","SDGWSHBOD","SLB",2019,30.7
"176","SDGWSHBOD","AGO",2019,42.8
"177","SDGWSHBOD","DZA",2019,4.2
"178","SDGWSHBOD","KEN",2019,25.9
"179","SDGWSHBOD","SYC",2019,8
"180","SDGWSHBOD","BRA",2019,6.6
"181","SDGWSHBOD","MKD",2019,1.1
"182","SDGWSHBOD","BRB",2019,6.9
"183","SDGWSHBOD","EMR",2019,17.78846
"184","SDGWSHBOD","MDG",2019,36.6
"185","SDGWSHBOD","CAF",2019,85.3
"186","SDGWSHBOD","ZAF",2019,27.6
"187","SDGWSHBOD","AFG",2019,16
"188","SDGWSHBOD","UGA",2019,32.8
"189","SDGWSHBOD","BEL",2019,5.9
"190","SDGWSHBOD","HUN",2019,2
"191","SDGWSHBOD","CMR",2019,42.4
"192","SDGWSHBOD","GTM",2019,16.3
"193","SDGWSHBOD","POL",2019,5.4
