"","IndicatorCode","Country","Year","Value"
"116","WSH_WATER_BASIC","ETH",2002,21.77133
"117","WSH_WATER_BASIC","JPN",2000,98.50413
"118","WSH_WATER_BASIC","TON",2017,98.62641
"119","WSH_WATER_BASIC","HND",2019,98.83788
"120","WSH_WATER_BASIC","NRU",2019,97.00336
"121","WSH_WATER_BASIC","DJI",2015,83.67123
"122","WSH_WATER_BASIC","LVA",2020,98.88751
"123","WSH_WATER_BASIC","FIN",2015,100
"124","WSH_WATER_BASIC","ROU",2013,100
"125","WSH_WATER_BASIC","SUR",2013,88.17353
"126","WSH_WATER_BASIC","ETH",2019,82.29275
"127","WSH_WATER_BASIC","BGD",2019,97.82833
"128","WSH_WATER_BASIC","SWZ",2017,59.9163
"129","WSH_WATER_BASIC","MNG",2022,94.22803
"130","WSH_WATER_BASIC","COL",2021,86.08042
"131","WSH_WATER_BASIC","URY",2008,99.13794
"132","WSH_WATER_BASIC","MLT",2009,100
"133","WSH_WATER_BASIC","GEO",2019,87.79618
"134","WSH_WATER_BASIC","IDN",2015,95.39772
"135","WSH_WATER_BASIC","COD",2001,70.29212
"136","WSH_WATER_BASIC","ETH",2014,40.03466
"137","WSH_WATER_BASIC","BHS",2002,98.33102
"138","WSH_WATER_BASIC","CYP",2022,99.84576
"139","WSH_WATER_BASIC","MOZ",2004,12.98211
"140","WSH_WATER_BASIC","UGA",2000,18.92308
"141","WSH_WATER_BASIC","IND",2019,91.56222
"142","WSH_WATER_BASIC","LVA",2014,98.83825
"143","WSH_WATER_BASIC","COL",2010,79.72865
"144","WSH_WATER_BASIC","ETH",2010,33.98875
"145","WSH_WATER_BASIC","IDN",2001,66.34341
"146","WSH_WATER_BASIC","NER",2014,36.91155
"147","WSH_WATER_BASIC","MDG",2011,44.95571
"148","WSH_WATER_BASIC","JOR",2022,99.14677
"149","WSH_WATER_BASIC","VCT",2014,96.99017
"150","WSH_WATER_BASIC","GEO",2009,99.08234
"151","WSH_WATER_BASIC","YEM",2021,77.20137
"152","WSH_WATER_BASIC","PRK",2019,93.82369
"153","WSH_WATER_BASIC","ZWE",2011,94.10679
"154","WSH_WATER_BASIC","CIV",2005,55.90982
"155","WSH_WATER_BASIC","PRY",2002,59.40975
"156","WSH_WATER_BASIC","NIC",2011,81.10697
"157","WSH_WATER_BASIC","MUS",2012,99.59197
"158","WSH_WATER_BASIC","HRV",2018,100
"159","WSH_WATER_BASIC","UZB",2005,83.09005
"160","WSH_WATER_BASIC","LCA",2009,92.95462
"161","WSH_WATER_BASIC","MDV",2007,98.19
"162","WSH_WATER_BASIC","BEN",2016,65.99736
"163","WSH_WATER_BASIC","BTN",2009,91.95755
"164","WSH_WATER_BASIC","POL",2021,82.2054
"165","WSH_WATER_BASIC","IND",2009,93.43625
"166","WSH_WATER_BASIC","JAM",2008,86.49754
"167","WSH_WATER_BASIC","TGO",2011,42.97117
"168","WSH_WATER_BASIC","AUT",2011,100
"169","WSH_WATER_BASIC","CRI",2004,96.12338
"170","WSH_WATER_BASIC","ISL",2012,100
"171","WSH_WATER_BASIC","DJI",2004,75.51055
"172","WSH_WATER_BASIC","UGA",2015,47.90881
"173","WSH_WATER_BASIC","BRA",2021,97.98709
"174","WSH_WATER_BASIC","CUB",2019,89.23079
"175","WSH_WATER_BASIC","ERI",2013,89.73822
"176","WSH_WATER_BASIC","BFA",2012,42.88617
"177","WSH_WATER_BASIC","KAZ",2000,96.64211
"178","WSH_WATER_BASIC","MAR",2018,60.38499
"179","WSH_WATER_BASIC","STP",2009,73.33124
"180","WSH_WATER_BASIC","SDN",2020,73.12987
"181","WSH_WATER_BASIC","MKD",2022,98.12389
"182","WSH_WATER_BASIC","BGD",2007,96.0571
"183","WSH_WATER_BASIC","BRA",2013,97.30767
"184","WSH_WATER_BASIC","NPL",2014,87.0901
"185","WSH_WATER_BASIC","MUS",2016,99.95308
"186","WSH_WATER_BASIC","LVA",2020,98.79026
"187","WSH_WATER_BASIC","NGA",2021,61.91093
"188","WSH_WATER_BASIC","MHL",2005,86.27372
"189","WSH_WATER_BASIC","KAZ",2003,91.24823
"190","WSH_WATER_BASIC","NLD",2009,100
"191","WSH_WATER_BASIC","BEL",2000,100
"192","WSH_WATER_BASIC","PHL",2011,90.30275
"193","WSH_WATER_BASIC","VNM",2003,95.45065
"194","WSH_WATER_BASIC","MYS",2004,92.5042
"195","WSH_WATER_BASIC","PRK",2009,95.91198
"196","WSH_WATER_BASIC","SLB",2003,78.851
"197","WSH_WATER_BASIC","BEL",2012,100
"198","WSH_WATER_BASIC","KEN",2007,87.31597
"199","WSH_WATER_BASIC","BIH",2015,97.33333
"200","WSH_WATER_BASIC","MLI",2000,39.05254
"201","WSH_WATER_BASIC","IRL",2003,96.77918
"202","WSH_WATER_BASIC","MWI",2000,85.76751
"203","WSH_WATER_BASIC","ARM",2013,99.02892
"204","WSH_WATER_BASIC","PLW",2005,99.63883
"205","WSH_WATER_BASIC","SLV",2005,94.99349
"206","WSH_WATER_BASIC","BWA",2008,59.38369
"207","WSH_WATER_BASIC","MCO",2003,100
"208","WSH_WATER_BASIC","MDV",2015,98.81424
"209","WSH_WATER_BASIC","ISR",2011,100
"210","WSH_WATER_BASIC","SUR",2018,98.58979
"211","WSH_WATER_BASIC","IRL",2003,97.37364
"212","WSH_WATER_BASIC","SVK",2013,100
"213","WSH_WATER_BASIC","GRD",2010,95.63079
"214","WSH_WATER_BASIC","SUR",2005,78.50248
"215","WSH_WATER_BASIC","CHN",2003,81.59693
"216","WSH_WATER_BASIC","ITA",2019,99.91703
"217","WSH_WATER_BASIC","STP",2003,75.39906
"218","WSH_WATER_BASIC","MYS",2012,91.35083
"219","WSH_WATER_BASIC","LBR",2021,75.13534
"220","WSH_WATER_BASIC","CHN",2000,68.38059
"221","WSH_WATER_BASIC","MCO",2012,100
"222","WSH_WATER_BASIC","BRB",2001,98.33442
"223","WSH_WATER_BASIC","VNM",2021,97.31751
"224","WSH_WATER_BASIC","TCD",2007,75.88333
"225","WSH_WATER_BASIC","JOR",2019,99.14311
"226","WSH_WATER_BASIC","MNE",2014,95.72012
"227","WSH_WATER_BASIC","NIC",2015,59.50466
"228","WSH_WATER_BASIC","BGR",2007,99.00354
"229","WSH_WATER_BASIC","CHN",2004,72.19135
"230","WSH_WATER_BASIC","BLZ",2011,97.06861
"231","WSH_WATER_BASIC","GTM",2013,86.06655
"232","WSH_WATER_BASIC","ETH",2011,35.52505
"233","WSH_WATER_BASIC","COD",2004,37.38696
"234","WSH_WATER_BASIC","GRC",2005,99.35782
"235","WSH_WATER_BASIC","RWA",2021,64.45211
"236","WSH_WATER_BASIC","HRV",2012,100
"237","WSH_WATER_BASIC","TCD",2001,39.21389
"238","WSH_WATER_BASIC","BHR",2007,99.9451
"239","WSH_WATER_BASIC","KIR",2001,49.32886
"240","WSH_WATER_BASIC","AFR",2001,79.65231
"241","WSH_WATER_BASIC","RUS",2007,95.81851
"242","WSH_WATER_BASIC","PLW",2018,99.54447
"243","WSH_WATER_BASIC","NER",2010,43.55975
"244","WSH_WATER_BASIC","HUN",2003,99.9655
"245","WSH_WATER_BASIC","ROU",2003,100
"246","WSH_WATER_BASIC","GTM",2021,97.70815
"247","WSH_WATER_BASIC","COM",2003,88.94065
"248","WSH_WATER_BASIC","EMR",2015,94.71969
"249","WSH_WATER_BASIC","ARE",2005,99.69903
"250","WSH_WATER_BASIC","VNM",2005,80.68709
"251","WSH_WATER_BASIC","CHN",2012,90.4109
"252","WSH_WATER_BASIC","RUS",2017,98.82056
"253","WSH_WATER_BASIC","SWZ",2016,67.38995
"254","WSH_WATER_BASIC","TUV",2011,98.78435
"255","WSH_WATER_BASIC","GMB",2006,75.99015
"256","WSH_WATER_BASIC","BLZ",2002,85.75784
"257","WSH_WATER_BASIC","NAM",2001,97.92139
"258","WSH_WATER_BASIC","SWE",2011,99.04292
"259","WSH_WATER_BASIC","BDI",2015,88.86844
"260","WSH_WATER_BASIC","UZB",2012,92.82442
"261","WSH_WATER_BASIC","DJI",2002,53.56424
"262","WSH_WATER_BASIC","USA",2001,99.69966
"263","WSH_WATER_BASIC","IRN",2010,90.47237
"264","WSH_WATER_BASIC","JOR",2004,96.7705
"265","WSH_WATER_BASIC","ARM",2002,90.40806
"266","WSH_WATER_BASIC","OMN",2007,71.35271
"267","WSH_WATER_BASIC","GEO",2022,88.54149
"268","WSH_WATER_BASIC","MWI",2014,65.40196
"269","WSH_WATER_BASIC","ISL",2015,100
"270","WSH_WATER_BASIC","PAK",2005,87.99058
"271","WSH_WATER_BASIC","ROU",2022,100
"272","WSH_WATER_BASIC","SGP",2007,100
"273","WSH_WATER_BASIC","EMR",2005,73.17581
"274","WSH_WATER_BASIC","ESP",2008,100
"275","WSH_WATER_BASIC","ZMB",2002,49.10737
"276","WSH_WATER_BASIC","CAF",2012,45.46443
"277","WSH_WATER_BASIC","EGY",2000,97.37426
"278","WSH_WATER_BASIC","KAZ",2021,91.93925
"279","WSH_WATER_BASIC","ALB",2021,95.66381
"280","WSH_WATER_BASIC","PRK",2005,98.92606
"281","WSH_WATER_BASIC","MWI",2001,54.69444
"282","WSH_WATER_BASIC","TUV",2005,98.66574
"283","WSH_WATER_BASIC","IND",2021,95.5818
"284","WSH_WATER_BASIC","LAO",2022,85.4618
"285","WSH_WATER_BASIC","RWA",2002,46.72692
"286","WSH_WATER_BASIC","HND",2015,86.31591
"287","WSH_WATER_BASIC","SVK",2020,99.60509
"288","WSH_WATER_BASIC","ARG",2004,97.20435
"289","WSH_WATER_BASIC","BLR",2012,98.30555
"290","WSH_WATER_BASIC","PER",2013,89.30003
"291","WSH_WATER_BASIC","COL",2006,77.41592
"292","WSH_WATER_BASIC","TKM",2019,99.79292
"293","WSH_WATER_BASIC","BTN",2006,85.46121
"294","WSH_WATER_BASIC","CIV",2013,56.93998
"295","WSH_WATER_BASIC","TJK",2011,93.54268
"296","WSH_WATER_BASIC","NIC",2001,94.84986
"297","WSH_WATER_BASIC","CYP",2012,99.87661
"298","WSH_WATER_BASIC","TUR",2000,89.10428
"299","WSH_WATER_BASIC","CRI",2003,89.70276
"300","WSH_WATER_BASIC","PAN",2004,79.23366
"301","WSH_WATER_BASIC","TUR",2007,96.45919
"302","WSH_WATER_BASIC","LCA",2022,97.20582
"303","WSH_WATER_BASIC","PLW",2006,98.86067
"304","WSH_WATER_BASIC","TGO",2020,86.5968
"305","WSH_WATER_BASIC","ARM",2016,99.82262
"306","WSH_WATER_BASIC","CAN",2018,98.99942
"307","WSH_WATER_BASIC","BIH",2022,96.09347
"308","WSH_WATER_BASIC","EUR",2019,97.80545
"309","WSH_WATER_BASIC","WPR",2007,97.81342
"310","WSH_WATER_BASIC","SVN",2010,99.5
"311","WSH_WATER_BASIC","NER",2021,39.99151
"312","WSH_WATER_BASIC","AZE",2019,90.2376
"313","WSH_WATER_BASIC","IRL",2019,97.03922
"314","WSH_WATER_BASIC","SEAR",2015,95.08639
"315","WSH_WATER_BASIC","ROU",2008,100
"316","WSH_WATER_BASIC","COD",2006,37.25265
"317","WSH_WATER_BASIC","COK",2001,99.86995
"318","WSH_WATER_BASIC","EUR",2008,93.69328
"319","WSH_WATER_BASIC","IRN",2001,87.54319
"320","WSH_WATER_BASIC","GIN",2013,48.93038
"321","WSH_WATER_BASIC","SEN",2005,65.67368
"322","WSH_WATER_BASIC","KIR",2002,62.31156
"323","WSH_WATER_BASIC","WSM",2002,88.22978
"324","WSH_WATER_BASIC","COL",2004,76.25895
"325","WSH_WATER_BASIC","CMR",2018,81.64164
"326","WSH_WATER_BASIC","TON",2013,98.79551
"327","WSH_WATER_BASIC","CMR",2019,81.56758
"328","WSH_WATER_BASIC","SRB",2009,91.1263
"329","WSH_WATER_BASIC","EMR",2015,79.58186
"330","WSH_WATER_BASIC","AMR",2022,94.4879
"331","WSH_WATER_BASIC","CZE",2019,99.8176
"332","WSH_WATER_BASIC","IND",2016,94.68775
"333","WSH_WATER_BASIC","ROU",2009,100
"334","WSH_WATER_BASIC","IDN",2014,79.94947
"335","WSH_WATER_BASIC","IRN",2009,90.14691
"336","WSH_WATER_BASIC","AND",2003,100
"337","WSH_WATER_BASIC","BEL",2020,100
"338","WSH_WATER_BASIC","LAO",2008,63.87598
"339","WSH_WATER_BASIC","AFG",2003,58.47344
"340","WSH_WATER_BASIC","LCA",2018,96.8872
"341","WSH_WATER_BASIC","NGA",2017,55.74648
"342","WSH_WATER_BASIC","PNG",2020,86.97613
"343","WSH_WATER_BASIC","SLV",2004,94.61891
"344","WSH_WATER_BASIC","COG",2002,57.95336
"345","WSH_WATER_BASIC","BGR",2013,99.69419
"346","WSH_WATER_BASIC","NPL",2000,92.27902
"347","WSH_WATER_BASIC","AUS",2005,99.865
"348","WSH_WATER_BASIC","IRL",2006,96.8196
"349","WSH_WATER_BASIC","LBR",2022,75.61013
"350","WSH_WATER_BASIC","COD",2001,19.42996
"351","WSH_WATER_BASIC","TUV",2000,98.56691
"352","WSH_WATER_BASIC","PRY",2007,71.85028
"353","WSH_WATER_BASIC","USA",2007,98.91061
"354","WSH_WATER_BASIC","CIV",2019,72.54106
"355","WSH_WATER_BASIC","GIN",2009,45.0627
"356","WSH_WATER_BASIC","LTU",2002,90.5603
"357","WSH_WATER_BASIC","SEN",2020,73.42351
"358","WSH_WATER_BASIC","TUV",2009,99.31008
"359","WSH_WATER_BASIC","NAM",2022,85.91211
"360","WSH_WATER_BASIC","KGZ",2019,89.85881
"361","WSH_WATER_BASIC","SWE",2013,99.15187
"362","WSH_WATER_BASIC","IDN",2010,75.81231
"363","WSH_WATER_BASIC","MNE",2007,96.23909
"364","WSH_WATER_BASIC","TON",2014,98.88278
"365","WSH_WATER_BASIC","MKD",2017,97.56751
"366","WSH_WATER_BASIC","WPR",2019,90.34365
"367","WSH_WATER_BASIC","NZL",2009,100
"368","WSH_WATER_BASIC","LKA",2001,80.59182
"369","WSH_WATER_BASIC","LUX",2012,100
"370","WSH_WATER_BASIC","TZA",2014,36.88779
"371","WSH_WATER_BASIC","NPL",2009,83.80276
"372","WSH_WATER_BASIC","SDN",2013,54.7861
"373","WSH_WATER_BASIC","GIN",2013,60.48388
"374","WSH_WATER_BASIC","CPV",2011,83.46776
"375","WSH_WATER_BASIC","BDI",2008,55.3252
"376","WSH_WATER_BASIC","BEL",2005,100
